49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
09481234809239481208934890239084210893089	29
1872364821736478234617234123472138417324	10
83173219837289312	9
590234852094580934	1
5094385923485098349085	0
49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
09481234809239481208934890239084210893089	29
1872364821736478234617234123472138417324	10
83173219837289312	9
590234852094580934	1
5094385923485098349085	0
49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
09481234809239481208934890239084210893089	29
1872364821736478234617234123472138417324	10
83173219837289312	9
590234852094580934	1
5094385923485098349085	0
49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
09481234809239481208934890239084210893089	29
1872364821736478234617234123472138417324	10
83173219837289312	9
590234852094580934	1
5094385923485098349085	0
49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
09481234809239481208934890239084210893089	29
1872364821736478234617234123472138417324	10
83173219837289312	9
590234852094580934	1
5094385923485098349085	0
49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
09481234809239481208934890239084210893089	29
1872364821736478234617234123472138417324	10
83173219837289312	9
590234852094580934	1
5094385923485098349085	0
49123840921384092138409213840921348092138409182309482139048	200
123098321938	111
4314234892134132443289749834723784	100
3498708921358239048580942385	91
4982405932894587349875	90
349123794817238492317894987238741972384	88
31479378923897548923897578927895	83
48937420893908	67
4981823748910239408932408918902348903089214098123089490812308908941098238094	59
3409281350928158904158230895	42
489123748912374	37
39812748923897547892347893789587934	37
